,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
95,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Sodio,7440-23-5,mg-L,4.1,CAS
96,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Solfati,14808-79-8,mg-L-SO4,12.0,CAS
97,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Temperatura acqua,3121-01-5,°C,16.8,WISE
98,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Zinco,7440-66-6,µg-L,lt-20,CAS
99,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Alcalinità,71-52-3,meq-L,3.679,CAS
100,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Arsenico,7440-38-2,µg-L,lt-1,CAS
101,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Azoto ammoniacale,14798-03-9,mg-L-N,0.03,CAS
102,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Azoto nitrico,14797-55-8,mg-L-N,0.6,CAS
103,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Azoto nitroso,14797-65-0,mg-L-N,0.009,CAS
104,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Azoto Totale,17778-88-0,mg-L-N,0.9,CAS
105,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
106,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Calcio,7440-70-2,mg-L,56.0,CAS
