"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"Po","Po (Fiume)","ITIRN00815IR","CR","Cremona","578225","4997690","N00816ir1","12/6/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,006"
"Po","Po (Fiume)","ITIRN00815IR","CR","Cremona","578225","4997690","N00816ir1","12/6/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,192"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,04"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,033"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,017"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0102"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,061"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","3/6/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,081"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,02"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,008"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,014"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,011"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0046"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,027"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","4/17/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,105"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,027"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,02"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,004"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,039"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","6/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,358"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,029"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,008"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,05"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,013"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0047"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,102"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","8/7/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,166"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,021"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,013"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,033"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,017"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0125"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,063"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","10/2/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,074"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,031"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,009"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,036"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,02"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0064"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,06"
"SERIO","Serio (Fiume)","IT03N0080010238LO","CR","Montodine","555780","5014647","N0080010238lo1","12/10/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,009"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,05"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,016"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,016"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0083"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,021"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/6/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,05"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,015"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,015"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,016"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0102"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,025"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","3/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,015"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,008"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,006"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0024"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,014"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","6/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,014"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,024"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,009"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,015"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,016"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0054"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,02"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","8/7/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,007"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,022"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,009"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,014"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,015"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0022"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,018"
"SERIO","Serio (Fiume)","IT03N0080010237LO","CR","Sergnano ","555527","5030943","N0080010237lo1","12/10/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
