PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
BRESCIA,VEROLANUOVA,BS195.0001,PRO.DOMO SRL (AREA EX CONCERIA),N.D.,aree industriali dismesse,10.07724384,45.32692948,POINT (10.07724384 45.32692948),bassa
MILANO,PERO,MI170.0031,AREA EX IP DEIN,VIA MICHELANGELO BUONARROTI,impianti di stoccaggio o adduzione carburanti,9.08004538,45.50319454,POINT (9.08004538 45.50319454),alta
LECCO,OSNAGO,LC061.0007,AREA TRA VIA DELLE MARASCHE E XXV APRILE,VIA DELLE MARASCHE,altri siti non meglio specificati,9.39774996,45.67969408,POINT (9.39774996 45.67969408),alta
PAVIA,MORTARA,PV102.0010,Rotatoria incrocio SP 494/SP211 Cavo S. Espedito - sversamento,N.D.,rilasci accidentali o dolosi di sostanze,8.74384784,45.24712218,POINT (8.74384784 45.24712218),bassa
MILANO,RHO,MI182.0010,SOCIETA' CO.GIEMME SRL,"VIA PIAVE, 31",aree industriali dismesse,9.04737265,45.53228248,POINT (9.04737265 45.53228248),alta
MILANO,MILANO,MI146.3194,EX CABINA ELETTRICA A2A,"VIA PIETRO AZARIO, 1",aree industriali dismesse,9.16903696,45.45971832,POINT (9.16903696 45.45971832),alta
BERGAMO,CHIGNOLO D ISOLA,BG072.0001,AREA INDUSTRIALE,"VIA GUGLIELMO MARCONI, 12",aree industriali dismesse,9.52671283,45.67133003,POINT (9.52671283 45.67133003),alta
COMO,CERNOBBIO,CO065.0004,CERNOBBIO VILLA PIZZO SVERSAMENTO,"VIA REGINA, 46",rilasci accidentali o dolosi di sostanze,9.07666685,45.8413342,POINT (9.07666685 45.8413342),alta
MILANO,MILANO,MI146.2582,EX POMPE PERONI SPA,"VIA DELLE FORZE ARMATE, 310",aree industriali dismesse,9.10187204,45.45947315,POINT (9.10187204 45.45947315),alta
MILANO,SESTO SAN GIOVANNI,MI209.0115,EX ROTONOVA,"VIA GIUSEPPE DI VITTORIO, 307",n.d.,9.26116382,45.52739093,POINT (9.26116382 45.52739093),alta
BERGAMO,GRUMELLO DEL MONTE,BG120.0001,"Materiale di riporto del POLO SCOLASTICO ""DOTT. PAOLO RAVASIO""",VIA BELOTTI,altri siti non meglio specificati,9.87484694,45.63627733,POINT (9.87484694 45.63627733),alta
MILANO,SAN DONATO MILANESE,MI192.0005,PUNTO VENDITA AGIP N. 2290,TANGENZIALE EST-DIREZIONE BO-MI,impianti di stoccaggio o adduzione carburanti,9.25859719,45.41669251,POINT (9.25859719 45.41669251),bassa
MILANO,PESCHIERA BORROMEO,MI171.0003,CENTRALI PRODUTTORI LATTE LOMBARDIA S.P.A. - serbatoio,"VIA II GIUGNO, 15",aree industriali in attività,9.32393805,45.43349054,POINT (9.32393805 45.43349054),alta
SONDRIO,TEGLIO,SO065.0001,P.V. Q8,LOCALITA' TRESENDA,impianti di stoccaggio o adduzione carburanti,10.08585758,46.1631601,POINT (10.08585758 46.1631601),alta
VARESE,LONATE POZZOLO,VA090.0005,Ex Fonderia e Officina Meccanica Zaro-Cerutti S.a.s. di Zaro Franco & C.,"VIA ALESSANDRO MANZONI, 3",aree industriali dismesse,8.76100528,45.59444677,POINT (8.76100528 45.59444677),alta
MILANO,MILANO,MI146.0741,P.V. carburanti Automobile Club Milano,VIALE REGINA MARGHERITA ANG.PIAZZA CINQUE GIORNATE,impianti di stoccaggio o adduzione carburanti,9.20463427,45.4574522,POINT (9.20463427 45.4574522),alta
BRESCIA,PIAN CAMUNO,BS142.0001,"AREA ""PIALI""","VIA GIACOMO PUCCINI, 4",operazioni di recupero rifiuti,10.14792283,45.84901325,POINT (10.14792283 45.84901325),alta
MILANO,MILANO,MI146.1810,BORGO PORRETTA AREA DI VIA PORRETTA,VIA PORRETTA,altri siti non meglio specificati,9.14862318,45.50854141,POINT (9.14862318 45.50854141),alta
MILANO,RODANO,MI185.0016,AREA S.I.L.C.O. SRL,VIA PAPA GIOVANNI XXIII,n.d.,9.33537346,45.46980285,POINT (9.33537346 45.46980285),alta
BERGAMO,BERGAMO,BG024.0065,Area cantiere ALER,VIA BORGO PALAZZO,altri siti non meglio specificati,9.67749651,45.69831665,POINT (9.67749651 45.69831665),alta
VARESE,CARONNO PERTUSELLA,VA034.0012,AREA EX PARKOPLAST,"VIA AMILCARE PONCHIELLI, 227",aree industriali dismesse,9.05763206,45.58173674,POINT (9.05763206 45.58173674),alta
MILANO,TREZZO SULL ADDA,MI221.0016,"FORNACE DELL'ADDA, BETONVILLA S.P.A.","VIA EMILIO BRASCA, 131",n.d.,9.48845978,45.61708563,POINT (9.48845978 45.61708563),alta
MONZA E DELLA BRIANZA,LISSONE,MI123.0042,AREA EX MOBILIFICIO MARIANI,"VIA GIUSEPPE MISSORI, 19",aree industriali dismesse,9.24528737,45.62718867,POINT (9.24528737 45.62718867),alta
MONZA E DELLA BRIANZA,SEREGNO,MI208.0009,AREA EX SOCIETA' DELL'ORTO SPA,"VIA VALASSINA, 40",aree industriali dismesse,9.20472339,45.6614191,POINT (9.20472339 45.6614191),alta
BRESCIA,ISEO,BS085.0003,PUNTO VENDITA AGIP PETROLI N. 1436,"VIA CIOCHET, 9",impianti di stoccaggio o adduzione carburanti,10.02178368,45.65153622,POINT (10.02178368 45.65153622),alta
MILANO,MILANO,MI146.3174,PERICLE 2008 S.R.L. (EX AREA RICREATIVA FS),VIA PERICLE,altri siti non meglio specificati,9.21848501,45.51154412,POINT (9.21848501 45.51154412),alta
MONZA E DELLA BRIANZA,VILLASANTA,MI239.0005,ITALTRANS AUTOTRASPORTI DI DONATI MARCO & C.,STRADA VICINALE DEL SOLE,rilasci accidentali o dolosi di sostanze,9.30345769,45.59930218,POINT (9.30345769 45.59930218),alta
MILANO,MILANO,MI146.2793,AREA DI VIA RIZZOLI,VIA ANGELO RIZZOLI,altri siti non meglio specificati,9.24929496,45.50383172,POINT (9.24929496 45.50383172),alta
LODI,CODOGNO,LO019.0004,"SOCIETA' CORIO FIORI S.A.S DI CORIO ENRICO, ANGELA & C.",VIA DIAZ (ANGOLO VIA TRENTO),smaltimenti non autorizzati - abbandono rifiuti,9.6981389,45.15971544,POINT (9.6981389 45.15971544),alta
MILANO,MILANO,MI146.0095,DITTA ALCATEL ITALIA,"VIALE LUIGI BODIO, 33/39",aree industriali dismesse,9.16843159,45.49734497,POINT (9.16843159 45.49734497),alta
VARESE,VENEGONO SUPERIORE,VA137.0004,ALENIA AERMACCHI,"VIA PRIVATA ING. PAOLO FORESIO, 1",aree industriali in attività,8.90143345,45.75472205,POINT (8.90143345 45.75472205),bassa
MILANO,SENAGO,MI206.0031,AREA VIA B. CROCE 18 ADIACENTE PARCO GROANE,"VIA BENEDETTO CROCE, 18",n.d.,9.09985058,45.58192165,POINT (9.09985058 45.58192165),alta
LODI,LODI,LO031.0005,"Dismissione serbatoi, area ex industriale","VIALE MILANO, 28",aree industriali dismesse,9.49111375,45.31986329,POINT (9.49111375 45.31986329),alta
BRESCIA,BRESCIA,BS029.0028,"SCUOLA I.P.S.S.A.R. ""A. Mantegna""","VIA FURA, 96",altri siti non meglio specificati,10.18426156,45.52801327,POINT (10.18426156 45.52801327),alta
MILANO,MILANO,MI146.3057,AREA PRIVATA,VIA CANTONI 20,aree industriali dismesse,9.13349328,45.50568952,POINT (9.13349328 45.50568952),alta
